Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Stefon Diggs (11244156),Stefon Diggs,11244156,T6,MIN@GB 09/16/2018 01:00PM ET,MIN,14.1
WR,Davante Adams (11244157),Davante Adams,11244157,T6,MIN@GB 09/16/2018 01:00PM ET,GB,19.8
WR,Nelson Agholor (11244163),Nelson Agholor,11244163,T7,PHI@TB 09/16/2018 01:00PM ET,PHI,13.5
WR,Jarvis Landry (11244162),Jarvis Landry,11244162,T7,CLE@NO 09/16/2018 01:00PM ET,CLE,20.6
WR,Josh Gordon (11244167),Josh Gordon,11244167,T7,CLE@NO 09/16/2018 01:00PM ET,CLE,8.7
WR,Golden Tate (11244160),Golden Tate,11244160,T7,DET@SF 09/16/2018 04:05PM ET,DET,20.9
WR,Marvin Jones Jr. (11244161),Marvin Jones Jr.,11244161,T7,DET@SF 09/16/2018 04:05PM ET,DET,9.4
WR,Brandin Cooks (11244165),Brandin Cooks,11244165,T7,ARI@LAR 09/16/2018 04:05PM ET,LAR,14.3
WR,Larry Fitzgerald (11244166),Larry Fitzgerald,11244166,T7,ARI@LAR 09/16/2018 04:05PM ET,ARI,14.6
WR,Emmanuel Sanders (11244164),Emmanuel Sanders,11244164,T7,OAK@DEN 09/16/2018 04:25PM ET,DEN,32.5
WR,Devin Funchess (11244174),Devin Funchess,11244174,T8,CAR@ATL 09/16/2018 01:00PM ET,CAR,7.1
WR,Corey Davis (11244170),Corey Davis,11244170,T8,HOU@TEN 09/16/2018 01:00PM ET,TEN,12.2
RB,Lamar Miller (11244172),Lamar Miller,11244172,T8,HOU@TEN 09/16/2018 01:00PM ET,HOU,11.9
TE,Zach Ertz (11244173),Zach Ertz,11244173,T8,PHI@TB 09/16/2018 01:00PM ET,PHI,9.8
WR,Kenny Stills (11244169),Kenny Stills,11244169,T8,MIA@NYJ 09/16/2018 01:00PM ET,MIA,29.6
RB,LeSean McCoy (11244171),LeSean McCoy,11244171,T8,LAC@BUF 09/16/2018 01:00PM ET,BUF,3.1
WR,Chris Hogan (11244168),Chris Hogan,11244168,T8,NE@JAX 09/16/2018 04:25PM ET,NE,2.1
WR,Keelan Cole (11244175),Keelan Cole,11244175,T8,NE@JAX 09/16/2018 04:25PM ET,JAX,8.4
