Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Cam Newton (11244126),Cam Newton,11244126,T1,CAR@ATL 09/16/2018 01:00PM ET,CAR,18.24
QB,Ben Roethlisberger (11244123),Ben Roethlisberger,11244123,T1,KC@PIT 09/16/2018 01:00PM ET,PIT,17
QB,Philip Rivers (11244125),Philip Rivers,11244125,T1,LAC@BUF 09/16/2018 01:00PM ET,LAC,32.96
QB,Aaron Rodgers (11244124),Aaron Rodgers,11244124,T1,MIN@GB 09/16/2018 01:00PM ET,GB,24.94
QB,Drew Brees (11244122),Drew Brees,11244122,T1,CLE@NO 09/16/2018 01:00PM ET,NO,34.56
QB,Andrew Luck (11244131),Andrew Luck,11244131,T2,IND@WAS 09/16/2018 01:00PM ET,IND,23.46
QB,Deshaun Watson (11244129),Deshaun Watson,11244129,T2,HOU@TEN 09/16/2018 01:00PM ET,HOU,13.04
QB,Patrick Mahomes (11244132),Patrick Mahomes,11244132,T2,KC@PIT 09/16/2018 01:00PM ET,KC,28.34
QB,Kirk Cousins (11244130),Kirk Cousins,11244130,T2,MIN@GB 09/16/2018 01:00PM ET,MIN,20.36
QB,Jared Goff (11244128),Jared Goff,11244128,T2,ARI@LAR 09/16/2018 04:05PM ET,LAR,17.22
QB,Tom Brady (11244127),Tom Brady,11244127,T2,NE@JAX 09/16/2018 04:25PM ET,NE,22.28
WR,Julio Jones (11244135),Julio Jones,11244135,T3,CAR@ATL 09/16/2018 01:00PM ET,ATL,31
WR,Antonio Brown (11244133),Antonio Brown,11244133,T3,KC@PIT 09/16/2018 01:00PM ET,PIT,24.3
WR,Michael Thomas (11244134),Michael Thomas,11244134,T3,CLE@NO 09/16/2018 01:00PM ET,NO,42
RB,Alvin Kamara (11244136),Alvin Kamara,11244136,T3,CLE@NO 09/16/2018 01:00PM ET,NO,46.1
RB,Todd Gurley II (11244137),Todd Gurley II,11244137,T3,ARI@LAR 09/16/2018 04:05PM ET,LAR,26.7
RB,David Johnson (11244138),David Johnson,11244138,T3,ARI@LAR 09/16/2018 04:05PM ET,ARI,17.7
WR,DeAndre Hopkins (11244143),DeAndre Hopkins,11244143,T4,HOU@TEN 09/16/2018 01:00PM ET,HOU,15.1
RB,Melvin Gordon III (11244141),Melvin Gordon III,11244141,T4,LAC@BUF 09/16/2018 01:00PM ET,LAC,30.6
WR,Keenan Allen (11244144),Keenan Allen,11244144,T4,LAC@BUF 09/16/2018 01:00PM ET,LAC,27.8
RB,Ezekiel Elliott (11244139),Ezekiel Elliott,11244139,T4,NYG@DAL 09/16/2018 08:20PM ET,DAL,17.6
RB,Saquon Barkley (11244140),Saquon Barkley,11244140,T4,NYG@DAL 09/16/2018 08:20PM ET,NYG,23.8
WR,Odell Beckham Jr. (11244142),Odell Beckham Jr.,11244142,T4,NYG@DAL 09/16/2018 08:20PM ET,NYG,25
RB,Christian McCaffrey (11244145),Christian McCaffrey,11244145,T5,CAR@ATL 09/16/2018 01:00PM ET,CAR,14.5
WR,Mike Evans (11244147),Mike Evans,11244147,T5,PHI@TB 09/16/2018 01:00PM ET,TB,30.7
WR,Tyreek Hill (11244146),Tyreek Hill,11244146,T5,KC@PIT 09/16/2018 01:00PM ET,KC,45.3
RB,James Conner (11244151),James Conner,11244151,T5,KC@PIT 09/16/2018 01:00PM ET,PIT,38.2
WR,Adam Thielen (11244148),Adam Thielen,11244148,T5,MIN@GB 09/16/2018 01:00PM ET,MIN,19.2
TE,Rob Gronkowski (11244150),Rob Gronkowski,11244150,T5,NE@JAX 09/16/2018 04:25PM ET,NE,27.3
WR,Amari Cooper (11244149),Amari Cooper,11244149,T5,OAK@DEN 09/16/2018 04:25PM ET,OAK,2.8
RB,Chris Thompson (11244155),Chris Thompson,11244155,T6,IND@WAS 09/16/2018 01:00PM ET,WAS,24.8
WR,T.Y. Hilton (11244158),T.Y. Hilton,11244158,T6,IND@WAS 09/16/2018 01:00PM ET,IND,15.6
RB,Jay Ajayi (11244153),Jay Ajayi,11244153,T6,PHI@TB 09/16/2018 01:00PM ET,PHI,20.2
RB,Kareem Hunt (11244154),Kareem Hunt,11244154,T6,KC@PIT 09/16/2018 01:00PM ET,KC,4.9
WR,JuJu Smith-Schuster (11244159),JuJu Smith-Schuster,11244159,T6,KC@PIT 09/16/2018 01:00PM ET,PIT,19.9
RB,Dalvin Cook (11244152),Dalvin Cook,11244152,T6,MIN@GB 09/16/2018 01:00PM ET,MIN,14.5
