Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Bears  (11182706),Bears ,11182706,CPT,3600,CHI@GB 09/09/2018 08:20PM ET,CHI,8.62
WR,Kevin White (11182641),Kevin White,11182641,FLEX,3400,CHI@GB 09/09/2018 08:20PM ET,CHI,2.6
K,Cody Parkey (11182642),Cody Parkey,11182642,FLEX,3200,CHI@GB 09/09/2018 08:20PM ET,CHI,6.06
DST,Bears  (11182643),Bears ,11182643,FLEX,2400,CHI@GB 09/09/2018 08:20PM ET,CHI,8.62
RB,Benny Cunningham (11182707),Benny Cunningham,11182707,CPT,2400,CHI@GB 09/09/2018 08:20PM ET,CHI,4.14
TE,Marcedes Lewis (11182708),Marcedes Lewis,11182708,CPT,1800,CHI@GB 09/09/2018 08:20PM ET,GB,5.26
TE,Adam Shaheen (11182709),Adam Shaheen,11182709,CPT,1800,CHI@GB 09/09/2018 08:20PM ET,CHI,3.28
RB,Benny Cunningham (11182644),Benny Cunningham,11182644,FLEX,1600,CHI@GB 09/09/2018 08:20PM ET,CHI,4.14
WR,Bennie Fowler (11182710),Bennie Fowler,11182710,CPT,1500,CHI@GB 09/09/2018 08:20PM ET,CHI,5.12
WR,Josh Bellamy (11182711),Josh Bellamy,11182711,CPT,1500,CHI@GB 09/09/2018 08:20PM ET,CHI,4.55
TE,Marcedes Lewis (11182645),Marcedes Lewis,11182645,FLEX,1200,CHI@GB 09/09/2018 08:20PM ET,GB,5.26
TE,Adam Shaheen (11182646),Adam Shaheen,11182646,FLEX,1200,CHI@GB 09/09/2018 08:20PM ET,CHI,3.28
RB,Joel Bouagnon (11182712),Joel Bouagnon,11182712,CPT,1200,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Bennie Fowler (11182647),Bennie Fowler,11182647,FLEX,1000,CHI@GB 09/09/2018 08:20PM ET,CHI,5.12
WR,Josh Bellamy (11182648),Josh Bellamy,11182648,FLEX,1000,CHI@GB 09/09/2018 08:20PM ET,CHI,4.55
WR,Equanimeous St. Brown (11182713),Equanimeous St. Brown,11182713,CPT,900,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Javon Wims (11182714),Javon Wims,11182714,CPT,900,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Taquan Mizzell (11182715),Taquan Mizzell,11182715,CPT,900,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Joel Bouagnon (11182649),Joel Bouagnon,11182649,FLEX,800,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Equanimeous St. Brown (11182650),Equanimeous St. Brown,11182650,FLEX,600,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Javon Wims (11182651),Javon Wims,11182651,FLEX,600,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Taquan Mizzell (11182652),Taquan Mizzell,11182652,FLEX,600,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Trevor Davis (11182716),Trevor Davis,11182716,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0.83
WR,Marquez Valdes-Scantling (11182717),Marquez Valdes-Scantling,11182717,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,J'Mon Moore (11182718),J'Mon Moore,11182718,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Lance Kendricks (11182719),Lance Kendricks,11182719,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,2.77
TE,Dion Sims (11182720),Dion Sims,11182720,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,2.79
RB,Devante Mays (11182721),Devante Mays,11182721,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0.26
RB,Ryan Nall (11182722),Ryan Nall,11182722,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Michael Burton (11182723),Michael Burton,11182723,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0.23
TE,Patrick Scales (11182724),Patrick Scales,11182724,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Joe Kerridge (11182725),Joe Kerridge,11182725,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0.32
RB,LeShun Daniels Jr. (11182726),LeShun Daniels Jr.,11182726,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0.35
RB,Aaron Ripkowski (11182727),Aaron Ripkowski,11182727,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0.76
RB,Knile Davis (11182728),Knile Davis,11182728,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Tanner Gentry (11182729),Tanner Gentry,11182729,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,1.62
WR,Demarcus Ayers (11182730),Demarcus Ayers,11182730,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Marlon Brown (11182731),Marlon Brown,11182731,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Malachi Jones (11182732),Malachi Jones,11182732,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Garrett Johnson (11182733),Garrett Johnson,11182733,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
TE,Daniel Brown (11182734),Daniel Brown,11182734,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,1.85
TE,Colin Thompson (11182735),Colin Thompson,11182735,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
TE,Ben Braunecker (11182736),Ben Braunecker,11182736,CPT,300,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Bronson Hill (11182737),Bronson Hill,11182737,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,-0.1
RB,Kyle Lewis (11182738),Kyle Lewis,11182738,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
RB,Aaron Jones (11182739),Aaron Jones,11182739,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,7.17
WR,Adonis Jennings (11182740),Adonis Jennings,11182740,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Jake Kumerow (11182741),Jake Kumerow,11182741,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,DeAngelo Yancey (11182742),DeAngelo Yancey,11182742,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Ryan Smith (11182743),Ryan Smith,11182743,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Kevin Rader (11182744),Kevin Rader,11182744,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Emanuel Byrd (11182745),Emanuel Byrd,11182745,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,5.1
