Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Bengals  (11244059),Bengals ,11244059,FLEX,3200,BAL@CIN 09/13/2018 08:20PM ET,CIN,6.31
TE,Mark Andrews (11244104),Mark Andrews,11244104,CPT,2700,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
RB,Kenneth Dixon (11244060),Kenneth Dixon,11244060,FLEX,2600,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
TE,Tyler Kroft (11244061),Tyler Kroft,11244061,FLEX,2400,BAL@CIN 09/13/2018 08:20PM ET,CIN,7.78
TE,Hayden Hurst (11244105),Hayden Hurst,11244105,CPT,2400,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
TE,Nick Boyle (11244062),Nick Boyle,11244062,FLEX,2200,BAL@CIN 09/13/2018 08:20PM ET,BAL,3.35
TE,Mark Andrews (11244063),Mark Andrews,11244063,FLEX,1800,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
TE,Maxx Williams (11244106),Maxx Williams,11244106,CPT,1800,BAL@CIN 09/13/2018 08:20PM ET,BAL,2.66
TE,Hayden Hurst (11244064),Hayden Hurst,11244064,FLEX,1600,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
TE,Maxx Williams (11244065),Maxx Williams,11244065,FLEX,1200,BAL@CIN 09/13/2018 08:20PM ET,BAL,2.66
WR,Alex Erickson (11244107),Alex Erickson,11244107,CPT,900,BAL@CIN 09/13/2018 08:20PM ET,CIN,2.29
WR,Alex Erickson (11244066),Alex Erickson,11244066,FLEX,600,BAL@CIN 09/13/2018 08:20PM ET,CIN,2.29
WR,Chris Moore (11244108),Chris Moore,11244108,CPT,600,BAL@CIN 09/13/2018 08:20PM ET,BAL,5.07
WR,Chris Moore (11244067),Chris Moore,11244067,FLEX,400,BAL@CIN 09/13/2018 08:20PM ET,BAL,5.07
RB,Mark Walton (11244109),Mark Walton,11244109,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
RB,Tra Carson (11244110),Tra Carson,11244110,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
WR,Auden Tate (11244111),Auden Tate,11244111,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
WR,Josh Malone (11244112),Josh Malone,11244112,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,1.68
WR,Cody Core (11244113),Cody Core,11244113,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
TE,Mason Schreck (11244114),Mason Schreck,11244114,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
TE,Clark Harris (11244115),Clark Harris,11244115,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
TE,C.J. Uzomah (11244116),C.J. Uzomah,11244116,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,CIN,1.8
RB,Patrick Ricard (11244117),Patrick Ricard,11244117,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
