Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ameer Abdullah (11232906),Ameer Abdullah,11232906,FLEX,3000,NYJ@DET 09/10/2018 07:10PM ET,DET,8.96
TE,Hakeem Valles (11232948),Hakeem Valles,11232948,CPT,3000,NYJ@DET 09/10/2018 07:10PM ET,DET,0
TE,Luke Willson (11232907),Luke Willson,11232907,FLEX,2800,NYJ@DET 09/10/2018 07:10PM ET,DET,3.39
WR,TJ Jones (11232949),TJ Jones,11232949,CPT,2700,NYJ@DET 09/10/2018 07:10PM ET,DET,5.56
DST,Jets  (11232908),Jets ,11232908,FLEX,2400,NYJ@DET 09/10/2018 07:10PM ET,NYJ,4.44
TE,Hakeem Valles (11232909),Hakeem Valles,11232909,FLEX,2000,NYJ@DET 09/10/2018 07:10PM ET,DET,0
WR,TJ Jones (11232910),TJ Jones,11232910,FLEX,1800,NYJ@DET 09/10/2018 07:10PM ET,DET,5.56
TE,Eric Tomlinson (11232950),Eric Tomlinson,11232950,CPT,1800,NYJ@DET 09/10/2018 07:10PM ET,NYJ,1.86
TE,Eric Tomlinson (11232911),Eric Tomlinson,11232911,FLEX,1200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,1.86
TE,Chris Herndon (11232951),Chris Herndon,11232951,CPT,1200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
TE,Jordan Leggett (11232952),Jordan Leggett,11232952,CPT,1200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,Charone Peake (11232953),Charone Peake,11232953,CPT,900,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0.43
TE,Chris Herndon (11232912),Chris Herndon,11232912,FLEX,800,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
TE,Jordan Leggett (11232913),Jordan Leggett,11232913,FLEX,800,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,Charone Peake (11232914),Charone Peake,11232914,FLEX,600,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0.43
TE,Levine Toilolo (11232954),Levine Toilolo,11232954,CPT,600,NYJ@DET 09/10/2018 07:10PM ET,DET,2.26
TE,Levine Toilolo (11232915),Levine Toilolo,11232915,FLEX,400,NYJ@DET 09/10/2018 07:10PM ET,DET,2.26
RB,Nick Bellore (11232955),Nick Bellore,11232955,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,DET,0
RB,Lawrence Thomas (11232956),Lawrence Thomas,11232956,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0.56
WR,Brandon Powell (11232957),Brandon Powell,11232957,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,DET,0
WR,Bradley Marquez (11232958),Bradley Marquez,11232958,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,DET,0
TE,Michael Roberts (11232959),Michael Roberts,11232959,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,DET,0.57
RB,Elijah McGuire (11232960),Elijah McGuire,11232960,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,NYJ,4.89
RB,Trenton Cannon (11232961),Trenton Cannon,11232961,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,ArDarius Stewart (11232962),ArDarius Stewart,11232962,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,NYJ,1.13
WR,Andre Roberts (11232963),Andre Roberts,11232963,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0.07
TE,Neal Sterling (11232964),Neal Sterling,11232964,CPT,300,NYJ@DET 09/10/2018 07:10PM ET,NYJ,1.29
RB,Nick Bellore (11232916),Nick Bellore,11232916,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,DET,0
RB,Lawrence Thomas (11232917),Lawrence Thomas,11232917,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0.56
WR,Brandon Powell (11232918),Brandon Powell,11232918,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,DET,0
WR,Bradley Marquez (11232919),Bradley Marquez,11232919,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,DET,0
TE,Michael Roberts (11232920),Michael Roberts,11232920,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,DET,0.57
RB,Elijah McGuire (11232921),Elijah McGuire,11232921,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,4.89
RB,Trenton Cannon (11232922),Trenton Cannon,11232922,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,ArDarius Stewart (11232923),ArDarius Stewart,11232923,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,1.13
WR,Andre Roberts (11232924),Andre Roberts,11232924,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0.07
TE,Neal Sterling (11232925),Neal Sterling,11232925,FLEX,200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,1.29
